Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty_Kicks_Made,Penalty_Kicks_Attempted,Yellow_Cards,Red_Cards,xG,npxG,xAG,npxG+xAG,Progressive_Carries,Progressive_Passes,Progressive_Passes_Received,Goals_per_90,Assists_Per_90,G+A_per_90,G-PK_per_90,G+A-PK_per_90,xG_per_90,xAG_per_90,xG+xAG_per_90,npxG_per_90,npxG+xAG_per_90,Shots,Shots_on_Target,Shots_on_Target_%,Shots_per_90,Shots_on_Target_per_90,Goals_per_Shot,Goals_per_Shot_on_Target,Distance,Free_Kicks,npxG_per_Shot,G-xG,npxG-xG,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,xA,xA-xAG,Key_Passes,Final_Third_Passes,Passes_into_Penalty_Area,Crosses_into_Penalty_Area,Through_Balls,Switches,Crosses,Passes_Blocked,SCA,SCA_per_90,SCA_Pass_Live,SCA_Pass_Dead,SCA_Take_Ons,SCA_Shots,SCA_Fouled,SCA_Defense,GCA,GCA_per_90,GCA_Pass_Live,GCA_Pass_Dead,GCA_Take_Ons,GCA_Shots,GCA_Fouled,GCA_Defense,Tackles,Tackles_Won,Tackles_Defensive_3rd,Tackles_Middle_3rd,Tackles_Attacking_3rd,Dribblers_Tackled,Dribbles_Challenged,Dribblers_Tackled_%,Challenges_Lost,Blocks,Shots_Blocked,Interceptions,Tackles + Interceptions,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Touches_Middle_Third,Touches_Attacking_Third,Touches_Attacking_Penalty_Area,Touches_Live_Ball,Take_Ons_Attempted,Take_Ons_Successful,Take_Ons_Success_%,Tackled_During_Take_On,Tackled_During_Take_On_%,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Carries_Into_Final_3rd,Carries_Into_Penalty_Area,Miscontrols,Dispossessed,Passes_Received,Second_Yellow_Cards,Fouls_Committed,Fouls_Drawn,Offsides,Penalty_Kicks_Won,Penalty_Kicks_Conceded,Own_Goals,Ball_Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Won_%
Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23,2001,11,10,766,8.5,2,5,7,2,0,0,0,0,1.8,1.8,3.5,5.3,34,58,84,0.23,0.59,0.82,0.23,0.82,0.21,0.42,0.63,0.21,0.63,17,7,41.2,2.0,0.82,0.12,0.29,12,0,0.11,0.2,0.2,297,379,78.4,4483,1215,166,198,83.8,106,130,81.5,16,25,64.0,2.1,1.5,22,34,25,2,6,1,12,8,33,3.88,28,0,1,3,1,0,7,0,6,0,0,1,0,0,4,4,0,3,1,1,5,20.0,4,4,2,0,4,4,0,467,4,26,189,260,47,467,39,16,41.0,21,53.8,298,2016.0,1070.0,30,16,15,16,376,0,7,18,1,0,0,0,40,16,12,57.1
Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30,1994,12,5,561,6.2,0,2,2,0,0,0,2,0,0.1,0.1,2.1,2.2,15,58,28,0.0,0.32,0.32,0.0,0.32,0.02,0.34,0.36,0.02,0.36,2,0,0.0,0.32,0.0,0.0,0.0,18,0,0.07,-0.1,-0.1,337,423,79.7,5666,1695,165,185,89.2,119,147,81.0,38,60,63.3,2.0,-0.1,13,40,17,6,8,4,23,10,26,4.16,24,1,0,0,0,1,3,0,3,0,0,0,0,0,5,4,2,3,0,5,8,62.5,3,4,0,2,7,6,1,464,7,63,267,138,6,464,7,3,42.9,3,42.9,311,1791.0,839.0,18,0,10,11,365,0,3,14,0,0,0,0,30,3,2,60.0
Mattia De Sciglio,ITA,DF,Empoli,Serie A,32,1992,5,1,174,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,1,1,100.0,0.52,0.52,0.0,0.0,28,0,0.01,0.0,0.0,48,61,78.7,996,271,16,18,88.9,20,27,74.1,10,13,76.9,0.0,0.0,1,1,1,1,0,1,2,1,1,0.52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,3,4,75.0,1,2,0,2,5,8,0,81,10,34,37,10,0,81,3,1,33.3,2,66.7,45,172.0,61.0,0,0,0,1,47,0,1,2,0,0,0,0,6,1,1,50.0
Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36,1988,5,4,292,3.2,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,2,18,13,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,1,0,0.0,0.31,0.0,0.0,0.0,13,0,0.03,0.0,0.0,155,184,84.2,2777,1159,67,76,88.2,72,80,90.0,14,22,63.6,0.2,-0.2,4,14,3,2,0,1,8,3,7,2.16,5,2,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,1,1,3,6,50.0,3,4,0,2,7,9,0,212,13,63,99,50,3,212,3,1,33.3,2,66.7,101,369.0,143.0,1,0,4,0,121,0,6,1,0,0,0,0,5,4,1,80.0
Thibault De Smet,BEL,DF,Reims,Ligue 1,26,1998,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,3,3,100.0,63,37,2,2,100.0,0,0,0.0,1,1,100.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,1,1,1,2,0,7,2,4,2,1,0,7,0,0,0.0,0,0.0,4,7.0,5.0,0,0,1,0,4,0,1,1,0,0,0,0,1,0,0,0.0
Koni De Winter,BEL,DF,Genoa,Serie A,22,2002,7,7,630,7.0,1,0,1,1,0,0,4,0,0.6,0.6,0.1,0.6,3,18,7,0.14,0.0,0.14,0.14,0.14,0.08,0.01,0.09,0.08,0.09,5,3,60.0,0.71,0.43,0.2,0.33,8,0,0.11,0.4,0.4,285,335,85.1,4931,1643,121,133,91.0,132,148,89.2,25,39,64.1,0.0,-0.1,2,12,1,1,0,0,1,2,3,0.43,2,0,0,0,0,1,0,0,0,0,0,0,0,0,12,9,6,5,1,4,6,66.7,2,2,1,8,20,34,0,413,45,191,187,39,18,413,2,1,50.0,1,50.0,204,1204.0,631.0,2,0,4,3,257,0,12,4,0,0,2,0,29,27,11,71.1
Alessandro Deiola,ITA,MF,Cagliari,Serie A,29,1995,10,6,558,6.2,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,4,19,12,0.0,0.0,0.0,0.0,0.0,0.09,0.03,0.11,0.09,0.11,8,0,0.0,1.29,0.0,0.0,0.0,16,0,0.07,-0.5,-0.5,136,187,72.7,2432,609,61,71,85.9,61,79,77.2,13,19,68.4,0.4,-0.2,2,19,3,0,1,2,5,10,13,2.1,11,1,0,0,1,0,1,0,1,0,0,0,0,0,14,8,4,9,1,5,17,29.4,12,7,5,3,17,15,0,249,20,64,125,62,8,249,1,1,100.0,0,0.0,113,414.0,164.0,1,0,6,4,146,0,10,5,0,0,0,0,23,9,11,45.0
Romain Del Castillo,FRA,FW,Brest,Ligue 1,28,1996,9,7,612,6.8,3,2,5,0,3,4,0,0,3.6,0.5,1.4,1.8,15,31,49,0.44,0.29,0.74,0.0,0.29,0.53,0.2,0.73,0.07,0.27,7,2,28.6,1.03,0.29,0.0,0.0,25,0,0.06,-0.6,-0.5,242,346,69.9,4168,1518,122,159,76.7,76,104,73.1,34,61,55.7,2.1,0.6,23,26,16,4,2,3,55,16,40,5.88,19,15,2,2,1,1,3,0,3,0,0,0,0,0,15,10,3,6,6,9,11,81.8,2,10,0,2,17,0,0,417,2,26,194,204,23,413,24,10,41.7,14,58.3,222,1094.0,515.0,17,4,19,7,279,0,5,7,0,0,0,0,38,6,6,50.0
Enrico Del Prato,ITA,DF,Parma,Serie A,25,1999,11,9,914,10.2,2,0,2,2,0,0,2,0,0.2,0.2,0.6,0.8,0,16,4,0.2,0.0,0.2,0.2,0.2,0.02,0.06,0.08,0.02,0.08,3,2,66.7,0.3,0.2,0.67,1.0,10,0,0.07,1.8,1.8,434,504,86.1,7830,2595,169,179,94.4,229,243,94.2,31,69,44.9,0.5,-0.6,6,15,1,1,0,0,4,3,14,1.38,14,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,4,2,0,3,7,42.9,4,25,12,8,14,43,1,595,97,318,226,54,11,595,0,0,0.0,0,0.0,335,1283.0,615.0,1,1,5,1,379,0,2,3,0,0,0,0,34,15,14,51.7
Liam Delap,ENG,FW,Ipswich Town,Premier League,21,2003,11,10,775,8.6,6,1,7,6,0,0,3,0,2.4,2.4,0.6,3.1,19,9,33,0.7,0.12,0.81,0.7,0.81,0.28,0.08,0.35,0.28,0.35,17,9,52.9,1.97,1.05,0.35,0.67,15,0,0.14,3.6,3.6,50,83,60.2,834,242,22,33,66.7,23,35,65.7,2,5,40.0,0.1,0.4,8,5,4,0,2,1,0,4,17,1.97,9,0,2,0,5,1,2,0,1,0,1,0,0,0,3,1,1,1,1,0,6,0.0,6,4,0,1,4,10,0,180,11,22,70,93,26,180,21,12,57.1,9,42.9,126,968.0,471.0,10,8,35,16,138,0,25,15,3,0,0,0,19,9,18,33.3
Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23,2001,4,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,4,4,13,0.0,0.0,0.0,0.0,0.0,0.04,0.08,0.13,0.04,0.13,2,0,0.0,1.06,0.0,0.0,0.0,20,0,0.04,-0.1,-0.1,72,78,92.3,1038,109,39,42,92.9,29,30,96.7,2,4,50.0,0.1,-0.2,2,4,0,0,0,0,2,0,7,3.71,4,0,2,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,0,0,0.0,0,2,0,0,3,0,0,91,2,12,47,34,6,91,7,3,42.9,2,28.6,54,312.0,123.0,2,2,5,3,69,0,2,0,0,0,0,0,14,0,2,0.0
Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,24,2000,5,0,41,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.0,0.24,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,20,30,66.7,383,148,6,6,100.0,12,13,92.3,2,8,25.0,0.1,-0.1,1,1,1,0,0,0,5,2,1,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,1,5,20.0,4,0,0,0,3,2,0,35,2,9,15,11,2,35,1,0,0.0,1,100.0,18,166.0,47.0,0,0,0,0,18,0,1,1,0,0,0,0,2,2,0,100.0
Ali Dembélé,FRA,DF,Torino,Serie A,20,2004,6,0,59,0.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,24,32,75.0,356,108,11,14,78.6,10,12,83.3,1,2,50.0,0.0,0.0,0,1,0,0,0,0,1,1,2,3.05,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,2,2,100.0,0,0,0,0,2,2,0,38,3,8,21,10,1,38,2,1,50.0,1,50.0,19,118.0,70.0,1,0,0,0,19,0,1,0,0,0,0,0,2,2,3,40.0
Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27,1997,10,7,605,6.7,5,4,9,5,0,0,1,0,4.3,4.3,4.1,8.3,51,58,85,0.74,0.6,1.34,0.74,1.34,0.63,0.6,1.24,0.63,1.24,32,17,53.1,4.76,2.53,0.16,0.29,16,0,0.13,0.7,0.7,333,419,79.5,5238,1496,177,210,84.3,121,138,87.7,24,39,61.5,3.1,-0.1,23,40,26,2,4,2,41,20,45,6.69,29,5,4,3,3,1,8,1,6,0,0,1,1,0,5,2,0,2,3,2,3,66.7,1,1,0,4,9,0,1,521,0,18,198,310,55,521,37,17,45.9,19,51.4,357,2474.0,1333.0,31,26,23,6,443,0,2,8,5,1,0,0,18,1,1,50.0
Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26,1998,10,6,529,5.9,5,0,5,5,0,2,0,0,3.8,2.1,0.5,2.5,6,10,33,0.85,0.0,0.85,0.85,0.85,0.64,0.08,0.72,0.35,0.43,17,9,52.9,2.89,1.53,0.29,0.56,14,0,0.12,1.2,2.9,90,128,70.3,1148,186,59,75,78.7,27,37,73.0,0,0,0.0,0.6,-0.5,6,5,4,0,1,0,0,5,14,2.38,10,0,0,3,1,0,2,0,1,0,0,1,0,0,4,3,1,1,2,0,4,0.0,4,3,0,1,5,2,0,191,0,13,87,92,33,189,8,2,25.0,6,75.0,99,438.0,149.0,3,1,12,9,143,0,3,14,6,0,0,0,10,7,10,41.2
Sepp Van Den Berg,NED,DF,Brentford,Premier League,23,2001,9,8,732,8.1,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,3,19,16,0.0,0.0,0.0,0.0,0.0,0.07,0.01,0.08,0.07,0.08,7,3,42.9,0.86,0.37,0.0,0.0,11,0,0.08,-0.5,-0.5,301,370,81.4,4748,1658,157,185,84.9,125,148,84.5,15,27,55.6,0.4,-0.1,2,15,3,1,0,0,6,2,6,0.74,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,10,2,2,5,9,55.6,4,14,7,6,20,30,2,466,67,232,170,66,14,466,4,2,50.0,2,50.0,195,838.0,371.0,4,0,7,3,262,0,6,3,0,0,0,0,26,32,17,65.3
Justin Devenny,NIR,MF,Crystal Palace,Premier League,21,2003,1,1,73,0.8,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,2,2,0,0.0,0.0,0.0,0.0,0.0,0.13,0.27,0.4,0.13,0.4,1,0,0.0,1.23,0.0,0.0,0.0,22,0,0.11,-0.1,-0.1,20,26,76.9,374,75,8,9,88.9,11,13,84.6,1,3,33.3,0.1,-0.2,2,1,1,0,0,0,1,1,4,4.93,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,0,2,2,100.0,0,0,0,0,3,1,0,33,1,8,14,11,1,33,1,0,0.0,1,100.0,12,110.0,67.0,1,1,0,1,18,0,0,0,0,0,0,0,1,0,1,0.0
Kiernan Dewsbury-Hall,ENG,MF,Chelsea,Premier League,26,1998,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.0,0.18,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,29,37,78.4,417,50,19,23,82.6,9,11,81.8,1,3,33.3,0.0,-0.1,1,3,0,0,0,0,0,0,1,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,1,1,1,1,41,0,8,24,9,0,41,1,1,100.0,0,0.0,28,174.0,108.0,0,0,0,1,34,0,1,1,0,0,0,0,2,0,0,0.0
Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,31,1993,12,12,1080,12.0,3,0,3,3,0,0,2,0,1.9,1.9,1.5,3.4,16,72,54,0.25,0.0,0.25,0.25,0.25,0.16,0.13,0.28,0.16,0.28,8,4,50.0,0.67,0.33,0.38,0.75,10,0,0.27,1.1,1.1,545,669,81.5,8916,3277,289,321,90.0,211,253,83.4,40,65,61.5,1.1,-1.5,16,55,15,3,0,3,17,18,30,2.5,27,1,0,1,0,1,3,0,2,0,0,1,0,0,29,20,16,12,1,20,26,76.9,6,4,2,12,41,35,1,776,47,242,334,203,24,776,15,4,26.7,8,53.3,362,1585.0,837.0,13,3,6,5,506,0,22,12,2,0,0,0,28,19,13,59.4
Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,28,1996,11,9,690,7.7,4,2,6,4,0,0,0,0,2.9,2.9,2.2,5.0,7,20,35,0.52,0.26,0.78,0.52,0.78,0.37,0.28,0.66,0.37,0.66,13,8,61.5,1.7,1.04,0.31,0.5,12,0,0.22,1.1,1.1,150,181,82.9,2328,300,76,91,83.5,59,67,88.1,9,10,90.0,0.7,-0.2,8,9,4,0,4,2,0,1,23,3.0,16,0,3,2,1,1,5,0,4,0,0,1,0,0,7,3,3,1,3,3,6,50.0,3,2,0,3,10,2,1,245,2,27,125,97,28,245,15,7,46.7,7,46.7,146,822.0,272.0,3,3,13,9,196,0,9,9,1,1,0,0,16,8,17,32.0
Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,19,2005,8,0,115,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,12,6,16,0.0,0.0,0.0,0.0,0.0,0.13,0.09,0.22,0.13,0.22,4,2,50.0,3.13,1.57,0.0,0.0,14,0,0.04,-0.2,-0.2,39,47,83.0,641,92,16,18,88.9,19,24,79.2,2,2,100.0,0.1,-0.1,3,3,1,0,0,0,2,1,9,7.04,5,0,1,1,1,1,1,0,0,0,0,1,0,0,4,4,2,0,2,4,5,80.0,1,0,0,1,5,1,0,68,1,9,25,34,11,68,11,7,63.6,4,36.4,54,600.0,274.0,5,8,7,1,55,0,1,5,0,0,0,0,4,0,2,0.0
Bafodé Diakité,FRA,DF,Lille,Ligue 1,23,2001,11,11,990,11.0,1,1,2,1,0,0,2,0,0.9,0.9,0.1,1.1,5,31,0,0.09,0.09,0.18,0.09,0.18,0.08,0.01,0.1,0.08,0.1,5,3,60.0,0.45,0.27,0.2,0.33,9,0,0.18,0.1,0.1,738,796,92.7,14157,4862,222,239,92.9,454,468,97.0,54,69,78.3,0.2,0.9,2,52,0,0,0,2,1,9,8,0.73,8,0,0,0,0,0,1,0,1,0,0,0,0,0,12,6,8,2,2,9,14,64.3,5,11,6,11,23,30,2,875,81,370,483,25,5,875,3,3,100.0,0,0.0,568,2605.0,1575.0,4,0,2,2,657,0,14,7,1,0,0,0,58,26,12,68.4
Oumar Diakité,CIV,FW,Reims,Ligue 1,21,2003,10,10,736,8.2,3,1,4,3,0,0,4,0,3.4,3.4,0.6,4.0,13,24,47,0.37,0.12,0.49,0.37,0.49,0.42,0.08,0.5,0.42,0.5,14,5,35.7,1.71,0.61,0.21,0.6,10,0,0.24,-0.4,-0.4,137,163,84.0,2035,356,66,77,85.7,55,63,87.3,5,5,100.0,0.8,0.4,6,10,9,1,1,1,3,5,19,2.33,16,0,1,2,0,0,2,0,2,0,0,0,0,0,10,7,5,4,1,6,11,54.5,5,7,1,2,12,6,0,271,8,37,130,113,32,271,27,9,33.3,18,66.7,155,900.0,364.0,10,1,31,15,188,0,15,10,6,0,0,0,30,12,25,32.4
Amad Diallo,CIV,FW,Manchester Utd,Premier League,22,2002,9,5,482,5.4,1,2,3,1,0,0,2,0,0.8,0.8,1.2,1.9,35,24,70,0.19,0.37,0.56,0.19,0.56,0.14,0.22,0.36,0.14,0.36,12,4,33.3,2.24,0.75,0.08,0.25,21,0,0.06,0.2,0.2,208,256,81.3,2929,615,123,142,86.6,60,69,87.0,14,22,63.6,1.0,0.8,14,6,15,1,1,0,12,7,27,5.04,21,3,1,1,1,0,2,0,2,0,0,0,0,0,16,12,4,8,4,8,11,72.7,3,2,0,4,20,2,0,320,2,28,103,195,41,320,19,7,36.8,12,63.2,203,1538.0,737.0,20,22,10,10,236,0,7,3,3,0,0,0,28,4,3,57.1
Assane Diao,ESP,FW,Betis,La Liga,19,2005,6,2,234,2.6,0,2,2,0,0,0,0,0,0.5,0.5,1.2,1.7,6,1,20,0.0,0.77,0.77,0.0,0.77,0.21,0.53,0.74,0.21,0.74,5,0,0.0,1.92,0.0,0.0,0.0,15,0,0.1,-0.5,-0.5,32,43,74.4,436,62,23,29,79.3,6,6,100.0,1,1,100.0,0.4,0.8,6,1,1,1,0,0,3,2,5,2.2,4,0,0,1,0,0,2,0,2,0,0,0,0,0,4,2,0,3,1,3,7,42.9,4,1,0,0,4,3,0,83,3,6,33,44,13,83,8,1,12.5,7,87.5,39,224.0,78.0,2,1,10,2,54,0,4,2,0,0,0,0,6,7,4,63.6
Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20,2004,11,11,927,10.3,2,1,3,1,1,1,3,0,1.6,0.9,1.0,1.9,26,44,43,0.19,0.1,0.29,0.1,0.19,0.16,0.1,0.26,0.08,0.18,12,7,58.3,1.17,0.68,0.08,0.14,19,0,0.07,0.4,0.1,289,346,83.5,4486,858,150,168,89.3,119,133,89.5,10,21,47.6,0.9,0.0,6,27,6,1,2,0,9,11,18,1.75,14,0,0,1,3,0,3,0,2,0,0,0,1,0,8,5,0,7,1,4,7,57.1,3,5,0,2,10,11,1,435,7,77,253,110,14,434,22,7,31.8,14,63.6,270,1388.0,735.0,10,5,15,15,329,0,14,19,0,0,0,0,33,8,8,50.0
Moussa Diarra,MLI,DF,Alavés,La Liga,24,2000,8,6,560,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,3,29,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,203,242,83.9,3446,1581,93,102,91.2,95,106,89.6,13,23,56.5,0.1,0.0,0,18,4,1,0,0,4,3,4,0.64,3,0,0,0,1,0,1,0,1,0,0,0,0,0,14,9,5,9,0,8,13,61.5,5,4,1,8,22,2,0,281,11,96,161,25,4,281,1,0,0.0,1,100.0,152,601.0,308.0,1,0,7,4,163,0,9,8,1,0,0,0,18,9,9,50.0
Rúben Dias,POR,DF,Manchester City,Premier League,27,1997,9,8,727,8.1,0,0,0,0,0,0,3,0,0.6,0.6,0.1,0.7,12,57,3,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,11,3,27.3,1.36,0.37,0.0,0.0,20,0,0.05,-0.6,-0.6,739,788,93.8,12335,3827,326,339,96.2,358,376,95.2,40,52,76.9,0.7,-0.1,4,78,5,0,0,1,2,7,15,1.86,11,0,0,3,0,1,0,0,0,0,0,0,0,0,7,4,3,3,1,3,4,75.0,1,4,3,10,17,21,1,856,61,233,442,183,11,856,1,0,0.0,1,100.0,603,3406.0,1946.0,33,1,3,1,687,0,5,3,0,0,0,1,33,15,8,65.2
Krépin Diatta,SEN,DF,Monaco,Ligue 1,25,1999,6,1,196,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,9,19,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.08,0.08,0.08,2,1,50.0,0.92,0.46,0.0,0.0,13,0,0.08,-0.2,-0.2,91,131,69.5,1510,516,43,57,75.4,40,53,75.5,6,12,50.0,0.2,0.0,1,5,3,0,0,2,4,2,5,2.3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,8,1,2,7,13,53.8,6,4,1,3,14,7,1,156,7,40,71,47,6,156,2,2,100.0,0,0.0,82,449.0,235.0,3,0,3,0,85,0,7,4,0,0,0,0,17,8,4,66.7
Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,2,50.0,6,0,1,2,50.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,4,0,1,3,0,0,4,0,0,0.0,0,0.0,2,2.0,0.0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0
Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,7,85.7,117,60,3,4,75.0,2,2,100.0,1,1,100.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,33.3,2,2,0,0,1,0,0,9,0,0,8,2,1,9,0,0,0.0,0,0.0,2,36.0,28.0,1,0,0,1,3,0,1,0,0,0,0,0,3,0,0,0.0
Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,25,1999,7,2,205,2.3,1,2,3,1,0,0,0,0,0.3,0.3,0.9,1.2,9,11,22,0.44,0.88,1.32,0.44,1.32,0.14,0.4,0.54,0.14,0.54,2,1,50.0,0.88,0.44,0.5,1.0,14,0,0.16,0.7,0.7,108,129,83.7,1432,356,62,69,89.9,36,43,83.7,2,4,50.0,0.8,1.1,6,8,4,0,2,0,4,4,13,5.74,10,0,2,0,0,1,4,1,3,0,0,0,0,1,7,6,3,3,1,0,3,0.0,3,1,0,1,8,0,0,156,0,15,75,68,6,156,13,8,61.5,4,30.8,109,527.0,275.0,4,2,7,8,126,0,3,6,0,0,0,0,11,0,3,0.0
Luis Díaz,COL,FW,Liverpool,Premier League,27,1997,11,8,648,7.2,5,2,7,5,0,0,0,0,2.8,2.8,1.5,4.3,31,21,65,0.69,0.28,0.97,0.69,0.97,0.39,0.2,0.59,0.39,0.59,18,9,50.0,2.5,1.25,0.28,0.56,13,0,0.16,2.2,2.2,210,246,85.4,3181,677,122,140,87.1,62,71,87.3,16,19,84.2,1.3,0.5,15,14,10,1,0,0,6,6,37,5.13,29,0,6,1,1,0,5,0,5,0,0,0,0,0,12,7,5,6,1,5,12,41.7,7,7,0,3,15,4,1,340,7,33,131,185,46,340,39,16,41.0,19,48.7,226,1799.0,901.0,17,20,13,16,260,0,16,10,2,0,0,0,31,4,9,30.8
Pedro Díaz,ESP,"MF,DF",Rayo Vallecano,La Liga,26,1998,3,1,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,0,6,2,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,1,0,0.0,1.38,0.0,0.0,0.0,33,0,0.02,0.0,0.0,26,35,74.3,406,126,13,18,72.2,12,12,100.0,0,3,0.0,0.1,0.0,1,2,2,0,0,0,2,0,3,4.15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,100.0,0,2,0,1,2,0,0,44,0,3,22,19,1,44,0,0,0.0,0,0.0,18,83.0,42.0,1,0,1,1,22,0,1,0,0,0,0,0,6,1,1,50.0
Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18,2006,11,6,570,6.3,1,0,1,1,0,0,4,0,1.0,1.0,0.8,1.7,30,24,40,0.16,0.0,0.16,0.16,0.16,0.15,0.12,0.27,0.15,0.27,9,4,44.4,1.42,0.63,0.11,0.25,20,0,0.11,0.0,0.0,156,196,79.6,2525,586,78,88,88.6,67,80,83.8,9,18,50.0,0.6,-0.8,8,10,10,0,3,1,12,5,25,3.95,13,1,6,2,3,0,2,0,1,0,1,0,0,0,11,9,5,5,1,5,9,55.6,4,4,1,2,13,3,0,273,6,30,119,127,14,273,39,16,41.0,13,33.3,194,1706.0,905.0,20,11,18,13,223,0,11,22,0,1,0,0,18,1,6,14.3
