Player Name,Team,Age,Nationality,Position,Competition,Year Born,0,1,2,3,4,5,6,7,8
Arthur Desmas,Le Havre,31,FRA,GK,Ligue 1,1994,-0.5150135598759263,-0.6064215260139979,-0.41122332038108844,0.33281514953042884,1.2925160240822442,-1.302120141721849,0.04708898387367717,-0.08787667704739854,0.4086645611148178
Michele Di Gregorio,Juventus,28,ITA,GK,Serie A,1997,1.0268567840923342,-0.8035649033630935,-0.2657177863192548,-0.96160256687299,-1.2206840577550222,-0.42346556094698884,-1.100023480211927,-1.0878146052356306,1.1094259442690335
Stole Dimitrievski,Valencia,32,MKD,GK,La Liga,1993,-3.5767929981511988,1.875164045191327,-1.0523476425886826,1.5221162803223787,-1.5627171960663822,3.1159061674859787,2.856458385746968,-0.10521527124925265,-0.3942184609433782
Yehvann Diouf,Reims,26,FRA,GK,Ligue 1,1999,2.6895853817393767,0.28697902381247625,1.286427703057103,-0.008390348612366769,0.5660360128414296,-1.257086860187672,1.2106226127816608,0.47699118439586197,-0.43834304940392244
Marko Dmitrović,Leganés,33,SRB,GK,La Liga,1992,2.8576910606163235,4.261354872360401,0.7802412627988572,-0.764380270360527,-1.3877893366854352,1.026320526285635,1.013608253661509,-1.0860038444512754,0.33411036536794975
Gianluigi Donnarumma,Paris S-G,26,ITA,GK,Ligue 1,1999,-1.2040186934271775,-2.170680169820452,-0.5550319694123361,-0.3373137649585563,0.2518074891680787,-0.7493117649441491,0.2821281078625256,-0.1572046717966869,-0.444483639292561
Patrick Drewes,Bochum,32,GER,GK,Bundesliga,1993,2.461210041444207,1.9225790723993177,-1.5364922009124307,1.9863478087340842,-0.5891831002958543,0.04081600155095974,-0.12970231484008726,1.2184298253920232,0.5868167925722759
Martin Dúbravka,Newcastle Utd,36,SVK,GK,Premier League,1989,-2.3889810252885693,-1.538899547609651,1.036404953590631,-0.4198073515012888,-0.3541677409924859,1.3771456446011106,-0.14030476810770984,-1.2078200242893666,-0.2511689512115675
Ederson,Manchester City,32,BRA,GK,Premier League,1993,0.2592235057985046,-2.674367091558464,0.08930373202436265,-0.2383526169256381,-0.9511125098278639,-0.41754239727601306,0.5239228343373605,1.2286591085006529,-0.38113340500694176
Łukasz Fabiański,West Ham,40,POL,GK,Premier League,1985,-1.216136704898891,1.0895376373435621,0.46295692570617925,-0.13334676066414264,-0.4081143871812755,-1.0485738146395627,0.7891958589216592,-0.10146924327110066,-0.16567836013599008
Wladimiro Falcone,Lecce,30,ITA,GK,Serie A,1995,3.30708397018158,2.1864791035994835,-0.8538426903106711,-0.5997522852910956,-0.533334355160539,-1.3297161574987828,-0.17471390002219228,-0.9660340914382435,1.2426569051667116
Álvaro Fernández,Sevilla,27,ESP,GK,La Liga,1998,-2.6058066026623536,1.2086139888892944,-0.5151697012211178,0.7009800736829433,-1.661369214767848,1.730520718550016,0.106627963277816,-1.2138727233711177,0.40164938015752977
Mark Flekken,Brentford,32,NED,GK,Premier League,1993,5.040383909464769,0.3548954669964496,0.11968058065491662,-0.9395953754612413,0.6147831313051348,-0.21924778155124722,-0.5448876883630055,1.0064920569166615,-1.6153584416902673
Yahia Fofana,Angers,25,CIV,GK,Ligue 1,2000,3.1934633539175583,0.7927371533302747,1.7837832081732634,-2.145594626937948,1.035495259947353,-0.924015622744145,0.741648792904942,0.6466115505346709,-0.5621120392814999
Fraser Forster,Tottenham,37,ENG,GK,Premier League,1988,-3.2387258272723196,-2.0207670519313106,-0.48564752675321615,-1.0910170279313693,1.1337903407296193,-1.6416414119433524,0.4858365368515929,-0.1225514279058631,-0.08777792380142006
Joan García,Espanyol,24,ESP,GK,La Liga,2001,3.7781303847282004,0.7957447226306759,0.7172581492200403,-1.0947506889465604,1.1176838452869333,0.09501226251119618,0.5243243026044528,0.7903443781655506,0.1775372291416698
Paulo Gazzaniga,Girona,33,ARG,GK,La Liga,1992,2.488942388695933,-1.714239314845242,-1.1265637022153687,0.47958588877905173,1.7036572929370686,0.9525284354225844,-0.4891938526258368,-0.6861520774866208,0.5420538459490272
David De Gea,Fiorentina,35,ESP,GK,Serie A,1990,1.8567924196014247,0.41757857556672534,1.384789333013432,2.35579211523321,-0.003734600130534184,-1.1354023264567286,-1.1459106593410198,0.2812245768111742,0.5551752604610745
Pierluigi Gollini,Genoa,30,ITA,GK,Serie A,1995,-2.998609670129601,-0.03323431223907036,-1.565832994656203,0.564750196841747,0.5692449153152968,-1.4119970111507523,-0.8460549908674284,0.21273236831307327,0.8788452894560715
Mathieu Gorgelin,Le Havre,35,FRA,GK,Ligue 1,1990,-2.4080506851475434,-0.0667528130955313,-1.1522818181642327,-1.0712077344123159,0.6605165509945592,-0.9085690830422254,0.13776406375203032,1.236327087159051,0.7792912540362184
Kamil Grabara,Wolfsburg,26,POL,GK,Bundesliga,1999,1.2379726180323853,1.4130912196093361,0.9480863667516484,1.6277647663832902,1.1193524838907773,-0.9674893417794969,-0.06025041818523497,0.22082808323461625,-0.46227273635242055
Dominik Greif,Mallorca,28,SVK,GK,La Liga,1997,1.0810436597824524,1.101419983019599,-1.134606006864453,0.5949197000484303,-0.807756032475314,-0.77538042629341,-1.0184348476268597,0.09762755941260014,-0.6300502650995448
Vicente Guaita,Celta Vigo,38,ESP,GK,La Liga,1987,1.1305608633033835,-1.9656064377263414,-1.2722459451216364,-0.35376151178537363,-0.2135524151011188,0.7181910047124295,-0.11540704313257052,-0.7189924444896995,-0.7122485375875648
Péter Gulácsi,Rb Leipzig,35,HUN,GK,Bundesliga,1990,1.6937903161319903,-2.4111570162222447,1.3303161382850563,0.3501497426494754,-0.37100685648543863,-0.6524751811309285,-0.5613870708886147,-0.40562390743328935,0.05312704774345903
Kjetil Haug,Toulouse,27,NOR,GK,Ligue 1,1998,-3.935490227080154,1.2937196250836445,-0.12848100140279498,0.05494490752234013,0.4934198237243816,1.0297141857366319,0.11746903514398295,-0.38943374106798334,-0.3440377064063503
Dean Henderson,Crystal Palace,28,ENG,GK,Premier League,1997,2.583858028495515,0.8924485864778385,1.4870697464335743,1.5866030939208553,0.20985808684040008,0.16451534160609074,0.3406487321204877,-0.9254441440898173,-0.06694899696920853
Mads Hermansen,Leicester City,25,DEN,GK,Premier League,2000,1.7742757936749414,1.1104271804264159,-0.13272431567297063,1.118777536016766,1.88622228423384,0.29944326856704134,1.07748554027945,-0.29026773040494774,-0.4960383741918166
Sergio Herrera,Osasuna,32,ESP,GK,La Liga,1993,3.8485453884377208,0.6560185760181769,0.2714080683645432,0.14029933264755054,-2.2085701653348013,0.7853288647095604,1.1641605717340417,1.9726625382337366,-0.22580266336484695
Timo Horn,Bochum,32,GER,GK,Bundesliga,1993,-3.220643655987247,3.7799856785878494,0.4929986499810675,1.0432393312849975,-0.8074728053940818,-0.22601037071861899,-0.9270057472514718,0.9428402180136641,-0.8723696527744331
Lukáš Hrádecký,Leverkusen,36,FIN,GK,Bundesliga,1989,0.9395813075954522,-0.5763327013355195,-0.5390698622963623,0.25706991259724077,-1.2648209191498119,-0.6301678098842612,0.4339616714979545,0.6558980192975865,-0.30532595259293366
Karl Jakob Hein,Valladolid,23,EST,GK,La Liga,2002,4.132297566676686,0.5605308541148333,-2.656507566294735,-0.20541782890898466,-0.5809740727301416,0.7941235146171916,-0.7656238141318266,-0.2569149224223809,-0.14657521803601847
Sam Johnstone,Wolves,32,ENG,GK,Premier League,1993,-2.4895370019745133,1.3863773246856679,-1.77768753500011,-0.1609564658598491,-0.052792354061163456,0.5572798454742064,0.029810317891194434,0.8701515532670039,0.44269631758527417
Jesse Joronen,Venezia,32,FIN,GK,Serie A,1993,-2.603879034094826,-0.3452944096074208,-0.17990790086325043,-0.9400321052320978,0.688757538476268,-0.9685776400411455,0.1408560070006135,-1.569477779729521,0.21915935021686236
Luiz Lúcio Reis Júnior,Villarreal,24,BRA,GK,La Liga,2001,-3.2315215839703675,-0.04431064563592888,0.221057224202412,-0.17228314766478647,-0.6756595324557381,0.790822872573353,0.6343305656115649,0.7411928066329257,0.1284870214907643
Filip Jørgensen,Chelsea,23,DEN,GK,Premier League,2002,-3.783980722438246,-2.348164752322788,-0.48368262420698066,-0.5462388369619211,1.099405627350638,-0.7761484433938368,0.9532629368738915,-1.291415943813807,-0.6177172576568634
Caoimhín Kelleher,Liverpool,27,IRL,GK,Premier League,1998,-2.4123772277596034,-0.8469791128266848,1.7217378565895718,2.5620683717252235,1.7189788106006703,1.0434073344810537,0.20339945053067024,-0.5709936778499624,1.1352049652595613
Antonín Kinský,Tottenham,22,CZE,GK,Premier League,2003,-4.162372153998439,-1.3292157416447854,-0.9277963168388723,-0.03315944532261093,0.8393241825051576,-0.8953494794912062,-0.5697960261603277,-0.21336596294147447,-0.34252836631158406
Gregor Kobel,Dortmund,28,SUI,GK,Bundesliga,1997,1.8847469496025244,-1.5067501715288085,-1.168580751657954,-0.18382682243411655,-0.28852051745892265,-0.3251312196737964,0.33400043722653033,-0.16955409574337316,-0.7437515220155066
Hervé Koffi,Lens,29,BFA,GK,Ligue 1,1996,-3.705911259151041,0.3538105581914902,1.1672780956288977,-1.4551102449714135,1.1877305771093911,-1.1810427785763924,0.951805213427721,0.5982099478407071,0.10567021987110019
Philipp Köhn,Monaco,27,SUI,GK,Ligue 1,1998,-2.3629936459541234,-1.5001450441572945,0.24275814604847906,0.1360538896035876,-1.2230421903845006,0.48156101252074385,-0.206326793377689,-0.849320909456428,0.08734883242669869
Nediljko Labrović,Augsburg,26,CRO,GK,Bundesliga,1999,-0.38654825319694386,1.1286153906792202,-2.1686974450485264,0.0479753415659672,-0.5031078863833909,0.29588596995065025,-0.2840594497404015,-0.11841967147473252,0.25286919203757297
Alban Lafont,Nantes,26,FRA,GK,Ligue 1,1999,-1.6243304230952857,1.1773239888515192,-0.11245727372878454,-1.2216754307776503,0.6337262849730332,0.24916543924854317,0.1801124933155057,-0.4327873626304541,0.28343600653454704
Gautier Larsonneur,Saint-Étienne,28,FRA,GK,Ligue 1,1997,3.528710836497587,1.3081919892478149,-1.2834516906315112,-1.4505024595434248,-0.6997997411459922,-1.9688876261066885,2.4996483729658103,-1.5243334944828215,2.7450920216016073
Nicola Leali,Genoa,32,ITA,GK,Serie A,1993,0.9986241581191668,0.18386294880906173,1.6932590424507636,-0.41313633415180306,0.23454901023698416,-1.296150006980456,-0.6536530958618796,-0.02477383226386236,0.5012950868241429
Benjamin Lecomte,Montpellier,34,FRA,GK,Ligue 1,1991,2.2312403524852207,1.4766831059641776,-1.8204491639347309,0.48197367071553887,0.005285680447847491,-0.6402832595246272,0.5870855526746279,0.6301131324821906,0.42068314490871184
Bernd Leno,Fulham,33,GER,GK,Premier League,1992,2.6773783485506977,-1.316528410343984,-1.1658425865682858,-0.38290023173592114,0.21057759608068372,-0.4339149917004949,-0.3364194598765845,-0.13401312263354595,-1.329094720241645
Donovan Léon,Auxerre,33,GUF,GK,Ligue 1,1992,3.1490654092773256,2.7194987254495264,1.277525700999489,-0.09678058208329139,-1.45435820954141,0.005902565654208807,1.1973707838943963,0.18472959407400713,-0.3231780544489692
Anthony Lopes,Nantes,35,POR,GK,Ligue 1,1990,-1.913702481001981,2.583876011376682,-0.34370157561582604,-0.016431789987071475,0.3149066898356636,-0.2734514112429682,0.09032681904343158,-0.046976518454393684,-0.4099256319714703
Andriy Lunin,Real Madrid,26,UKR,GK,La Liga,1999,-4.144867926171624,-2.0420230332552767,-0.6881223633017037,0.34868114261113986,-0.8456198786044286,0.05402482645885669,-1.2336897491783407,-0.14393841102301377,0.28680483578927546
Mike Maignan,Milan,30,FRA,GK,Serie A,1995,3.9052329229243767,-3.1477526470457584,-0.11802629139325035,1.498094598663907,-0.5984427681635786,1.2273950130538132,-0.20866689749134043,0.2772592034557159,-0.31868214802539474
Radosław Majecki,Monaco,26,POL,GK,Ligue 1,1999,-1.3335432891970191,-0.9661604377892099,-0.3000331203867643,-1.1008997809690044,0.40060814932322497,0.6812298622892531,0.8395329381003289,-0.7086498118544088,0.10135070419128682
