Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Yellow_Cards,Red_Cards,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Ball_Recoveries,Goals_Against,Goals_Against_per_90,Shots_On_Target_Against,Saves,Save_%,Clean_Sheets,Clean_Sheet_%,Penalty_Kicks_Allowed,Penalty_Kicks_Saved,Penalty_Kicks_Missed,Penalty_Kicks_Save_%,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post-Shot_xG,Post-Shot_xG_per_Shot_on_Target,Post-Shot_xG_+/-,Post-Shot_xG_per_90,Launches_Completed,Launches_Attempted,Launches_Completion_%,Passes_Attempted(GK),Throws_Attempted,Launch_%,Average_Pass_Length,Goal_Kicks,Goal_Kicks_Launch_%,Average_Length_Goal_Kicks,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_%,Actions_Outside_Penalty_Area,Actions_Outside_Penalty_Area_per_90,Defensive_Actions_Average_Distance
Dinko Horkaš,CRO,GK,Las Palmas,La Liga,25,1999,3,2,211,2.3,1,0,83,97,85.6,1962,1465,21,21,100.0,44,44,100.0,18,31,58.1,2,0,103,74,100,57,228,127,7,5.0,2.13,9.0,3.0,44.4,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.4,7.0,19.0,36.8,85.0,9.0,16.5,26.0,11.0,45.5,33.0,31.0,0.0,0.0,7.0,2.99,23.0
Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,35,1989,14,14,1260,14.0,0,0,348,439,79.3,8787,6612,81,81,100.0,159,160,99.4,104,192,54.2,3,1,460,379,458,258,1374,758,30,18.0,1.29,51.0,34.0,68.6,2.0,14.3,2.0,0.0,0.0,0.0,0.0,2.0,1.0,15.0,0.0,-1.0,-0.11,47.0,122.0,38.5,368.0,58.0,25.0,29.0,69.0,43.5,38.0,135.0,8.0,5.9,14.0,1.0,14.0
Karl Jakob Hein,EST,GK,Valladolid,La Liga,22,2002,18,18,1620,18.0,0,0,512,697,73.5,15084,10640,69,69,100.0,288,291,99.0,155,336,46.1,13,0,752,631,739,403,1969,1236,19,37.0,2.06,94.0,58.0,61.7,4.0,22.2,1.0,0.0,0.0,0.0,1.0,3.0,1.0,34.0,0.0,-1.0,-0.09,100.0,268.0,37.3,582.0,83.0,32.6,34.0,114.0,68.4,54.0,306.0,26.0,8.5,23.0,1.28,14.0
Vitezslav Jaros,CZE,GK,Liverpool,Premier League,23,2001,1,0,12,0.1,0,0,6,8,75.0,302,273,0,0,0.0,1,1,100.0,5,7,71.4,0,0,8,5,8,7,29,8,0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,5.0,7.0,71.4,7.0,2.0,85.7,50.0,1.0,100.0,59.0,2.0,0.0,0.0,0.0,0.0,11.0
Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,34,1990,3,3,270,3.0,0,0,107,129,82.9,2158,1272,32,32,100.0,63,65,96.9,12,32,37.5,3,0,142,122,142,98,445,248,2,6.0,2.0,22.0,16.0,77.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.22,6.0,22.0,27.3,122.0,21.0,15.6,23.0,7.0,42.9,39.0,48.0,2.0,4.2,3.0,1.0,11.0
Sam Johnstone,ENG,GK,Wolves,Premier League,31,1993,7,7,630,7.0,0,0,184,278,66.2,5548,4270,31,32,96.9,80,82,97.6,72,160,45.0,7,0,306,229,304,196,1221,756,9,17.0,2.43,39.0,23.0,61.5,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,13.0,0.0,-3.0,-0.43,52.0,129.0,40.3,252.0,28.0,45.6,36.0,25.0,56.0,43.0,104.0,8.0,7.7,11.0,1.57,13.0
Jesse Joronen,FIN,GK,Venezia,Serie A,31,1993,7,7,630,7.0,0,0,205,273,75.1,4877,3176,35,35,100.0,127,130,97.7,42,104,40.4,3,0,295,260,295,179,992,533,10,12.0,1.71,35.0,25.0,74.3,2.0,28.6,3.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,0.0,0.0,0.02,17.0,72.0,23.6,234.0,45.0,26.5,30.0,38.0,26.3,34.0,116.0,6.0,5.2,5.0,0.71,10.0
Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,La Liga,23,2001,4,3,288,3.2,0,0,68,88,77.3,1629,1131,18,18,100.0,36,37,97.3,14,33,42.4,4,0,95,77,93,54,280,195,6,5.0,1.56,9.0,4.0,55.6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,-0.27,8.0,27.0,29.6,72.0,18.0,27.8,29.0,16.0,43.8,42.0,37.0,5.0,13.5,8.0,2.5,16.0
Filip Jørgensen,DEN,GK,Chelsea,Premier League,22,2002,2,2,180,2.0,0,0,45,50,90.0,766,452,17,17,100.0,26,26,100.0,1,6,16.7,0,0,55,47,55,38,172,110,2,3.0,1.5,10.0,7.0,80.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.63,0.0,5.0,0.0,44.0,7.0,11.4,21.0,6.0,0.0,13.0,19.0,1.0,5.3,0.0,0.0,9.0
Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,26,1998,8,8,720,8.0,0,0,221,296,74.7,4749,2888,80,80,100.0,109,109,100.0,32,106,30.2,0,2,309,230,308,232,851,453,15,9.0,1.13,31.0,21.0,71.0,3.0,37.5,0.0,1.0,0.0,100.0,0.0,0.0,0.0,10.0,0.0,1.0,0.17,25.0,94.0,26.6,281.0,37.0,29.9,29.0,15.0,66.7,44.0,87.0,4.0,4.6,8.0,1.0,15.0
Gregor Kobel,SUI,GK,Dortmund,Bundesliga,27,1997,13,13,1170,13.0,0,0,454,544,83.5,10480,6967,118,120,98.3,242,244,99.2,93,179,52.0,7,2,570,435,567,367,1768,962,26,18.0,1.38,49.0,31.0,69.4,3.0,23.1,3.0,0.0,0.0,0.0,0.0,3.0,0.0,16.0,0.0,-1.0,-0.11,43.0,122.0,35.2,499.0,46.0,19.6,26.0,45.0,53.3,41.0,177.0,5.0,2.8,15.0,1.15,14.0
Philipp Köhn,SUI,GK,Monaco,Ligue 1,26,1998,9,9,810,9.0,1,0,203,271,74.9,5198,3835,36,36,100.0,109,114,95.6,58,121,47.9,6,0,291,251,291,176,885,437,17,8.0,0.89,29.0,21.0,75.9,4.0,44.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,-0.08,26.0,77.0,33.8,218.0,30.0,25.7,30.0,53.0,39.6,35.0,107.0,6.0,5.6,14.0,1.56,16.0
Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24,2000,1,1,90,1.0,0,0,24,25,96.0,633,434,6,6,100.0,12,12,100.0,6,7,85.7,0,0,26,23,26,18,71,27,3,3.0,3.0,4.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.69,4.0,5.0,80.0,24.0,1.0,20.8,28.0,1.0,0.0,14.0,6.0,0.0,0.0,3.0,3.0,20.0
Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,25,1999,15,15,1350,15.0,0,0,354,504,70.2,10392,7820,57,57,100.0,177,181,97.8,119,262,45.4,12,1,546,451,537,306,1571,923,14,32.0,2.13,74.0,42.0,60.8,2.0,13.3,3.0,0.0,0.0,0.0,1.0,2.0,0.0,25.0,0.0,-6.0,-0.4,83.0,220.0,37.7,397.0,72.0,38.8,35.0,105.0,62.9,47.0,217.0,12.0,5.5,18.0,1.2,13.0
Alban Lafont,FRA,GK,Nantes,Ligue 1,25,1999,12,12,1080,12.0,1,0,256,367,69.8,7058,5292,41,41,100.0,147,147,100.0,68,177,38.4,8,1,408,334,401,228,1065,545,11,19.0,1.58,49.0,32.0,67.3,2.0,16.7,3.0,0.0,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,-0.02,40.0,143.0,28.0,309.0,56.0,34.0,34.0,57.0,66.7,51.0,200.0,16.0,8.0,6.0,0.5,10.0
Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27,1997,15,15,1350,15.0,3,0,377,585,64.4,10134,7683,60,60,100.0,215,219,98.2,102,304,33.6,11,0,635,530,633,372,1715,1040,19,34.0,2.27,88.0,54.0,69.3,3.0,20.0,7.0,1.0,0.0,12.5,0.0,4.0,1.0,29.0,0.0,-3.0,-0.24,64.0,242.0,26.4,498.0,68.0,38.2,34.0,85.0,61.2,44.0,239.0,13.0,5.4,13.0,0.87,13.0
Nicola Leali,ITA,GK,Genoa,Serie A,31,1993,11,11,990,11.0,1,0,288,372,77.4,8224,5878,61,62,98.4,130,131,99.2,97,179,54.2,6,1,400,348,392,203,1046,689,8,12.0,1.09,48.0,35.0,79.2,4.0,36.4,2.0,1.0,0.0,33.3,0.0,2.0,0.0,15.0,0.0,3.0,0.31,68.0,141.0,48.2,286.0,49.0,33.6,31.0,86.0,52.3,42.0,178.0,6.0,3.4,3.0,0.27,7.0
Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33,1991,12,12,1080,12.0,0,0,319,457,69.8,8920,7075,54,54,100.0,143,145,98.6,119,255,46.7,7,0,493,368,486,277,1682,1040,15,30.0,2.5,68.0,39.0,61.8,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,0.0,-4.0,-0.39,65.0,186.0,34.9,378.0,42.0,38.9,34.0,79.0,49.4,39.0,151.0,9.0,6.0,9.0,0.75,13.0
Bernd Leno,GER,GK,Fulham,Premier League,32,1992,19,19,1710,19.0,2,0,606,743,81.6,14816,8548,103,104,99.0,383,387,99.0,115,246,46.7,5,3,777,613,775,520,1923,1076,29,25.0,1.32,81.0,57.0,69.1,3.0,15.8,0.0,0.0,0.0,0.0,0.0,4.0,1.0,22.0,0.0,-1.0,-0.09,65.0,190.0,34.2,659.0,82.0,21.4,28.0,83.0,59.0,46.0,266.0,18.0,6.8,16.0,0.84,12.0
Donovan Léon,GUF,GK,Auxerre,Ligue 1,32,1992,15,15,1350,15.0,2,0,300,519,57.8,10330,8760,41,41,100.0,123,123,100.0,136,354,38.4,9,1,563,471,561,321,1846,1139,19,23.0,1.53,84.0,62.0,77.4,4.0,26.7,4.0,0.0,0.0,0.0,0.0,3.0,1.0,24.0,0.0,2.0,0.16,107.0,316.0,33.9,430.0,78.0,57.2,43.0,88.0,79.5,58.0,268.0,15.0,5.6,19.0,1.27,14.0
Joe Lumley,ENG,GK,Southampton,Premier League,29,1995,3,3,270,3.0,0,0,106,151,70.2,2342,1476,42,44,95.5,42,46,91.3,21,59,35.6,3,3,164,116,161,103,476,296,2,7.0,2.33,20.0,13.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.22,15.0,50.0,30.0,135.0,14.0,34.1,30.0,15.0,26.7,24.0,56.0,2.0,3.6,7.0,2.33,18.0
Andriy Lunin,UKR,GK,Real Madrid,La Liga,25,1999,3,3,270,3.0,0,0,87,106,82.1,2157,1330,19,20,95.0,42,42,100.0,25,43,58.1,1,0,108,93,108,64,208,111,8,4.0,1.33,8.0,4.0,50.0,2.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,-0.41,10.0,26.0,38.5,87.0,12.0,24.1,28.0,19.0,26.3,33.0,30.0,1.0,3.3,5.0,1.67,12.0
Mike Maignan,FRA,GK,Milan,Serie A,29,1995,17,17,1530,17.0,1,0,620,713,87.0,15013,9669,113,115,98.3,363,364,99.7,142,230,61.7,8,1,743,430,731,489,2544,1767,30,17.0,1.0,57.0,40.0,70.2,8.0,47.1,0.0,1.0,0.0,100.0,0.0,2.0,1.0,14.0,0.0,-1.0,-0.11,52.0,136.0,38.2,642.0,72.0,16.7,27.0,69.0,42.0,42.0,207.0,13.0,6.3,28.0,1.65,17.0
Radosław Majecki,POL,GK,Monaco,Ligue 1,25,1999,7,7,630,7.0,1,0,157,213,73.7,3564,2481,40,40,100.0,86,86,100.0,30,86,34.9,5,0,225,183,224,125,631,354,7,8.0,1.14,26.0,18.0,73.1,2.0,28.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.02,12.0,55.0,21.8,167.0,36.0,26.3,30.0,46.0,23.9,30.0,74.0,10.0,13.5,10.0,1.43,14.0
Giorgi Mamardashvili,GEO,GK,Valencia,La Liga,24,2000,14,14,1260,14.0,1,0,301,444,67.8,8877,6376,50,50,100.0,154,155,99.4,97,238,40.8,4,0,473,373,469,222,984,485,12,22.0,1.57,49.0,27.0,59.2,3.0,21.4,2.0,1.0,0.0,33.3,0.0,2.0,1.0,19.0,0.0,-1.0,-0.09,61.0,188.0,32.4,358.0,53.0,36.6,35.0,86.0,66.3,50.0,172.0,5.0,2.9,17.0,1.21,17.0
Steve Mandanda,FRA,GK,Rennes,Ligue 1,39,1985,15,15,1305,14.5,0,0,318,444,71.6,8502,6356,65,65,100.0,153,158,96.8,99,219,45.2,5,1,464,371,460,275,1348,832,24,20.0,1.38,45.0,26.0,60.0,5.0,33.3,2.0,1.0,0.0,33.3,0.0,2.0,2.0,15.0,0.0,-2.0,-0.2,59.0,161.0,36.6,379.0,57.0,33.5,32.0,65.0,52.3,42.0,162.0,7.0,4.3,18.0,1.24,15.0
Emiliano Martínez,ARG,GK,Aston Villa,Premier League,32,1992,19,19,1665,18.5,2,0,564,693,81.4,15109,8968,82,85,96.5,338,344,98.3,144,260,55.4,11,5,728,549,723,440,2302,1413,14,30.0,1.62,78.0,47.0,62.8,2.0,10.5,1.0,1.0,0.0,50.0,1.0,1.0,0.0,26.0,0.0,-3.0,-0.19,85.0,194.0,43.8,606.0,66.0,24.6,30.0,83.0,54.2,43.0,243.0,26.0,10.7,17.0,0.92,13.0
Alex Mccarthy,ENG,GK,Southampton,Premier League,35,1989,4,4,360,4.0,0,0,90,117,76.9,1791,1126,38,40,95.0,36,40,90.0,15,35,42.9,1,4,129,106,129,75,302,162,3,10.0,2.5,29.0,19.0,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,-0.01,9.0,28.0,32.1,100.0,23.0,26.0,26.0,17.0,11.8,18.0,66.0,6.0,9.1,0.0,0.0,6.0
