Player,Nationality,Position,Team,Competition,Age,Born,Matches,Starts,Minutes,90s,Yellow_Cards,Red_Cards,Passes_Completed,Passes_Attempted,Pass_Completion_%,Total_Pass_Distance,Total_Progressive_Distance,Short_Passes_Completed,Short_Passes_Attempted,Short_Pass_Completion_%,Medium_Passes_Completed,Medium_Passes_Attempted,Medium_Pass_Completion_%,Long_Passes_Completed,Long_Passes_Attempted,Long_Pass_Completion_%,Clearances,Errors,Touches,Touches_Defensive_Penalty_Area,Touches_Defensive_Third,Carries,Carries_Total_Distance,Carries_Progressive_Distance,Ball_Recoveries,Goals_Against,Goals_Against_per_90,Shots_On_Target_Against,Saves,Save_%,Clean_Sheets,Clean_Sheet_%,Penalty_Kicks_Allowed,Penalty_Kicks_Saved,Penalty_Kicks_Missed,Penalty_Kicks_Save_%,Free_Kick_Goals_Against,Corner_Kick_Goals_Against,Own_Goals_Against,Post-Shot_xG,Post-Shot_xG_per_Shot_on_Target,Post-Shot_xG_+/-,Post-Shot_xG_per_90,Launches_Completed,Launches_Attempted,Launches_Completion_%,Passes_Attempted(GK),Throws_Attempted,Launch_%,Average_Pass_Length,Goal_Kicks,Goal_Kicks_Launch_%,Average_Length_Goal_Kicks,Crosses_Faced,Crosses_Stopped,Crosses_Stopped_%,Actions_Outside_Penalty_Area,Actions_Outside_Penalty_Area_per_90,Defensive_Actions_Average_Distance
Antonio Sivera,ESP,GK,Alavés,La Liga,28,1996,18,18,1583,17.6,3,0,317,547,58.0,12475,10836,28,28,100.0,109,111,98.2,178,404,44.1,11,0,593,432,578,288,1818,1299,12,28.0,1.59,76.0,49.0,71.1,3.0,16.7,6.0,0.0,0.0,0.0,2.0,1.0,1.0,27.0,0.0,0.0,0.03,155.0,374.0,41.4,430.0,49.0,67.0,46.0,116.0,74.1,55.0,240.0,19.0,7.9,18.0,1.02,12.0
Łukasz Skorupski,POL,GK,Bologna,Serie A,33,1991,11,11,990,11.0,1,0,313,407,76.9,8677,5714,40,40,100.0,170,173,98.3,101,191,52.9,3,0,421,358,417,268,1276,777,21,15.0,1.36,35.0,21.0,57.1,3.0,27.3,0.0,1.0,0.0,100.0,0.0,1.0,2.0,13.0,0.0,0.0,0.0,54.0,135.0,40.0,363.0,48.0,30.6,32.0,43.0,55.8,46.0,109.0,8.0,7.3,6.0,0.55,10.0
Yann Sommer,SUI,GK,Inter,Serie A,36,1988,17,17,1530,17.0,0,0,580,651,89.1,13600,8852,111,111,100.0,341,344,99.1,126,190,66.3,5,1,677,539,677,455,2061,1126,32,15.0,0.88,53.0,38.0,73.6,9.0,52.9,1.0,1.0,0.0,50.0,0.0,2.0,1.0,14.0,0.0,0.0,0.04,48.0,100.0,48.0,589.0,68.0,15.8,26.0,58.0,12.1,25.0,165.0,9.0,5.5,6.0,0.35,12.0
David Soria,ESP,GK,Getafe,La Liga,31,1993,18,18,1620,18.0,0,0,241,451,53.4,9606,8344,17,17,100.0,83,85,97.6,141,345,40.9,7,1,486,395,475,206,1326,905,12,15.0,0.83,47.0,32.0,74.5,5.0,27.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,1.0,0.09,117.0,315.0,37.1,309.0,39.0,63.8,45.0,138.0,85.5,59.0,199.0,9.0,4.5,16.0,0.89,14.0
Juan Soriano,ESP,GK,Leganés,La Liga,27,1997,6,6,540,6.0,1,0,98,185,53.0,3513,2922,17,17,100.0,35,35,100.0,46,133,34.6,2,0,199,173,199,90,447,281,5,7.0,1.17,25.0,19.0,72.0,1.0,16.7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,2.0,0.47,36.0,120.0,30.0,131.0,20.0,56.5,43.0,54.0,85.2,62.0,130.0,7.0,5.4,0.0,0.0,8.0
Filip Stankovic,SRB,GK,Venezia,Serie A,22,2002,11,11,990,11.0,1,0,251,355,70.7,6191,4417,41,41,100.0,149,155,96.1,61,158,38.6,8,1,391,333,386,228,1236,785,12,19.0,1.73,59.0,40.0,72.9,0.0,0.0,3.0,1.0,0.0,25.0,0.0,3.0,1.0,18.0,0.0,0.0,0.01,30.0,114.0,26.3,297.0,26.0,29.3,31.0,57.0,47.4,35.0,174.0,8.0,4.6,9.0,0.82,11.0
Jason Steele,ENG,GK,Brighton,Premier League,34,1990,2,2,180,2.0,0,0,101,112,90.2,2321,1556,21,21,100.0,63,65,96.9,17,26,65.4,1,0,114,107,114,91,361,151,7,1.0,0.5,4.0,3.0,75.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,7.0,16.0,43.8,110.0,7.0,13.6,25.0,2.0,50.0,43.0,22.0,2.0,9.1,3.0,1.5,15.0
Jakub Stolarczyk,POL,GK,Leicester City,Premier League,24,2000,2,2,180,2.0,0,0,61,81,75.3,1542,1060,20,20,100.0,20,21,95.2,20,39,51.3,2,0,88,73,88,41,181,141,0,5.0,2.5,12.0,7.0,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,-1.0,-0.69,15.0,32.0,46.9,63.0,11.0,38.1,30.0,18.0,44.4,37.0,51.0,3.0,5.9,0.0,0.0,4.0
Zion Suzuki,JPN,GK,Parma,Serie A,22,2002,17,17,1514,16.8,2,1,479,713,67.2,13053,9688,89,89,100.0,250,254,98.4,138,366,37.7,13,4,767,624,763,445,2235,1517,15,29.0,1.81,82.0,54.0,67.1,1.0,6.3,2.0,0.0,0.0,0.0,2.0,3.0,1.0,29.0,0.0,1.0,0.06,75.0,297.0,25.3,610.0,97.0,39.5,36.0,102.0,54.9,47.0,280.0,26.0,9.3,12.0,0.71,10.0
Mile Svilar,SRB,GK,Roma,Serie A,25,1999,18,18,1620,18.0,1,0,510,659,77.4,13105,7843,89,89,100.0,297,299,99.3,124,271,45.8,5,1,697,563,692,429,2123,1355,21,24.0,1.33,77.0,54.0,72.7,5.0,27.8,3.0,0.0,0.0,0.0,0.0,3.0,1.0,25.0,0.0,2.0,0.11,57.0,193.0,29.5,556.0,78.0,24.8,30.0,103.0,53.4,44.0,205.0,10.0,4.9,15.0,0.83,15.0
Marc-André Ter Stegen,GER,GK,Barcelona,La Liga,32,1992,6,6,494,5.5,0,0,186,203,91.6,4679,3174,17,17,100.0,125,127,98.4,44,59,74.6,2,2,212,155,212,140,679,512,5,5.0,0.91,15.0,10.0,73.3,1.0,16.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,-0.08,13.0,28.0,46.4,186.0,31.0,13.4,27.0,17.0,17.6,29.0,64.0,3.0,4.7,6.0,1.09,13.0
Pietro Terracciano,ITA,GK,Fiorentina,Serie A,34,1990,3,3,270,3.0,0,0,70,89,78.7,1552,957,18,18,100.0,40,40,100.0,11,30,36.7,0,0,96,80,96,67,285,144,4,3.0,1.0,13.0,10.0,76.9,1.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,8.0,25.0,32.0,78.0,14.0,28.2,28.0,11.0,27.3,26.0,20.0,1.0,5.0,3.0,1.0,17.0
Kevin Trapp,GER,GK,Eint Frankfurt,Bundesliga,34,1990,11,11,945,10.5,0,0,291,380,76.6,6539,4512,91,91,100.0,135,137,98.5,63,148,42.6,4,2,405,353,404,273,1112,642,15,14.0,1.33,55.0,39.0,74.5,2.0,18.2,0.0,2.0,0.0,100.0,0.0,3.0,0.0,15.0,0.0,1.0,0.13,35.0,114.0,30.7,320.0,52.0,28.1,28.0,59.0,40.7,36.0,167.0,6.0,3.6,9.0,0.86,14.0
Mark Travers,IRL,GK,Bournemouth,Premier League,25,1999,3,3,270,3.0,0,0,51,72,70.8,1990,1697,4,4,100.0,21,22,95.5,26,46,56.5,4,0,85,76,83,41,247,103,1,3.0,1.0,15.0,12.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,3.0,1.11,25.0,45.0,55.6,49.0,15.0,53.1,38.0,23.0,82.6,58.0,40.0,0.0,0.0,4.0,1.33,13.0
Stefano Turati,ITA,GK,Monza,Serie A,23,2001,15,15,1350,15.0,0,0,369,522,70.7,10839,8816,71,71,100.0,170,174,97.7,127,274,46.4,10,1,566,502,562,330,1695,887,15,23.0,1.53,67.0,43.0,67.2,1.0,6.7,1.0,1.0,0.0,50.0,0.0,6.0,0.0,22.0,0.0,-1.0,-0.07,101.0,233.0,43.3,443.0,49.0,41.1,34.0,78.0,65.4,48.0,212.0,5.0,2.4,10.0,0.67,13.0
Sven Ulreich,GER,GK,Bayern Munich,Bundesliga,36,1988,1,1,90,1.0,0,0,25,30,83.3,551,414,10,10,100.0,10,10,100.0,5,10,50.0,0,0,30,18,27,13,55,30,2,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,37.5,29.0,4.0,27.6,28.0,1.0,0.0,9.0,7.0,1.0,14.3,1.0,1.0,12.0
Maarten Vandevoordt,BEL,GK,Rb Leipzig,Bundesliga,22,2002,2,1,135,1.5,0,0,37,49,75.5,861,530,11,11,100.0,20,20,100.0,6,18,33.3,2,0,52,46,52,25,94,55,3,1.0,0.67,6.0,5.0,83.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03,4.0,16.0,25.0,34.0,11.0,20.6,27.0,15.0,60.0,47.0,29.0,3.0,10.3,2.0,1.33,12.0
Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,29,1995,15,15,1350,15.0,0,0,454,614,73.9,12419,8509,70,70,100.0,251,252,99.6,131,289,45.3,11,1,657,467,648,367,1834,1083,26,19.0,1.27,67.0,46.0,71.6,5.0,33.3,0.0,2.0,0.0,100.0,0.0,4.0,0.0,22.0,0.0,3.0,0.23,80.0,223.0,35.9,539.0,59.0,33.6,33.0,74.0,56.8,44.0,223.0,12.0,5.4,13.0,0.87,13.0
Devis Vásquez,COL,GK,Empoli,Serie A,26,1998,18,18,1620,18.0,2,0,391,650,60.2,11190,8118,56,56,100.0,204,213,95.8,131,379,34.6,12,2,695,565,688,411,2129,1247,20,21.0,1.17,62.0,40.0,67.7,5.0,27.8,1.0,1.0,1.0,50.0,0.0,2.0,0.0,20.0,0.0,0.0,-0.03,84.0,313.0,26.8,554.0,59.0,45.5,38.0,94.0,64.9,51.0,328.0,27.0,8.2,6.0,0.33,9.0
Bart Verbruggen,NED,GK,Brighton,Premier League,22,2002,17,17,1530,17.0,2,0,518,647,80.1,12201,8590,164,165,99.4,227,229,99.1,125,247,50.6,12,3,691,574,685,457,1707,877,35,27.0,1.59,75.0,49.0,68.0,3.0,17.6,3.0,0.0,0.0,0.0,1.0,3.0,1.0,26.0,0.0,0.0,0.0,68.0,179.0,38.0,601.0,74.0,24.6,28.0,43.0,72.1,50.0,217.0,16.0,7.4,28.0,1.65,14.0
Guglielmo Vicario,ITA,GK,Tottenham,Premier League,28,1996,12,12,1080,12.0,1,0,421,460,91.5,7911,4683,139,140,99.3,235,239,98.3,41,74,55.4,7,2,487,311,477,355,1725,929,19,13.0,1.08,41.0,28.0,68.3,3.0,25.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15.0,0.0,2.0,0.24,10.0,31.0,32.3,423.0,69.0,6.6,20.0,37.0,8.1,20.0,146.0,19.0,13.0,20.0,1.67,14.0
Fran Vieites,ESP,GK,Betis,La Liga,25,1999,3,3,270,3.0,0,0,52,92,56.5,1452,884,10,10,100.0,22,22,100.0,20,60,33.3,1,0,98,77,98,45,208,107,3,4.0,1.33,10.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,-0.09,9.0,48.0,18.8,70.0,11.0,47.1,41.0,22.0,68.2,50.0,60.0,6.0,10.0,3.0,1.0,12.0
Iván Villar,ESP,GK,Celta Vigo,La Liga,27,1997,4,4,360,4.0,0,0,95,117,81.2,1704,1111,30,30,100.0,44,44,100.0,10,32,31.3,3,0,130,118,128,60,269,172,10,9.0,2.25,18.0,10.0,50.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,3.0,2.0,8.0,0.0,1.0,0.3,3.0,22.0,13.6,82.0,15.0,14.6,24.0,35.0,28.6,26.0,65.0,1.0,1.5,5.0,1.25,14.0
Christian Walton,ENG,GK,Ipswich Town,Premier League,29,1995,2,2,180,2.0,0,0,51,85,60.0,1422,1144,21,21,100.0,14,14,100.0,16,50,32.0,0,0,90,81,90,51,215,115,0,2.0,1.0,9.0,7.0,77.8,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.91,15.0,48.0,31.3,66.0,12.0,50.0,37.0,19.0,78.9,52.0,32.0,5.0,15.6,1.0,0.5,9.0
Danny Ward,WAL,GK,Leicester City,Premier League,31,1993,2,1,135,1.5,0,0,41,53,77.4,1162,949,6,6,100.0,20,20,100.0,15,27,55.6,1,0,55,40,55,44,176,107,1,6.0,4.0,10.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-3.0,-2.11,10.0,22.0,45.5,46.0,9.0,37.0,32.0,7.0,71.4,52.0,11.0,0.0,0.0,2.0,1.33,20.0
Timon Weiner,GER,GK,Holstein Kiel,Bundesliga,25,1999,15,15,1350,15.0,3,0,374,576,64.9,10775,8096,96,96,100.0,148,152,97.4,130,324,40.1,7,3,620,543,618,302,1394,630,27,38.0,2.53,88.0,51.0,61.4,1.0,6.7,4.0,0.0,0.0,0.0,1.0,4.0,1.0,28.0,0.0,-8.0,-0.55,97.0,275.0,35.3,463.0,59.0,43.2,35.0,110.0,68.2,49.0,272.0,15.0,5.5,8.0,0.53,11.0
Robin Zentner,GER,GK,Mainz 05,Bundesliga,30,1994,15,15,1350,15.0,1,0,345,531,65.0,10253,7558,69,69,100.0,152,153,99.3,123,303,40.6,20,3,592,460,579,314,1532,852,19,20.0,1.33,68.0,48.0,73.5,4.0,26.7,2.0,0.0,0.0,0.0,1.0,3.0,0.0,20.0,0.0,0.0,0.04,76.0,243.0,31.3,436.0,75.0,42.4,37.0,90.0,64.4,52.0,291.0,24.0,8.2,31.0,2.07,14.0
Michael Zetterer,GER,GK,Werder Bremen,Bundesliga,29,1995,15,15,1350,15.0,1,0,527,655,80.5,13580,8588,86,87,98.9,288,290,99.3,150,274,54.7,3,4,691,573,685,501,3438,1756,16,25.0,1.67,67.0,44.0,62.7,3.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,21.0,0.0,-1.0,-0.08,55.0,165.0,33.3,596.0,89.0,24.8,30.0,58.0,29.3,36.0,215.0,17.0,7.9,12.0,0.8,11.0
